cena,left_accuracy,left_precision,left_recall,left_f1,right_accuracy,right_precision,right_recall,right_f1,sat_irreflexividade,sat_assimetria,sat_inverso,sat_transitividade,satAgg
1,0.9366666666666666,0.9548611111111112,0.9166666666666666,0.935374149659864,0.9183333333333333,0.9372822299651568,0.8966666666666666,0.9165247018739353,0.9549121260643005,0.9883570075035095,0.9386993050575256,0.9989575743675232,0.9702315330505371
2,0.9316666666666666,0.9419795221843004,0.92,0.9308600337268128,0.9283333333333333,0.9446366782006921,0.91,0.9269949066213922,0.9502916932106018,0.9836505651473999,0.9524216651916504,0.9979823231697083,0.9710865616798401
3,0.955,0.9690721649484536,0.94,0.9543147208121826,0.9566666666666667,0.9691780821917808,0.9433333333333334,0.9560810810810811,0.9884397387504578,0.9817034006118774,0.9448165893554688,0.9984738826751709,0.9783583879470825
4,0.935,0.9611307420494699,0.9066666666666666,0.9331046312178387,0.9333333333333333,0.9513888888888888,0.9133333333333333,0.9319727891156462,0.9048786163330078,0.9889862537384033,0.9447572231292725,0.9991512298583984,0.9594433307647705
5,0.9516666666666667,0.9656357388316151,0.9366666666666666,0.9509306260575296,0.9433333333333334,0.9403973509933775,0.9466666666666667,0.9435215946843853,0.9971811175346375,0.9873343706130981,0.9512390494346619,0.9993447065353394,0.9837747812271118
