cena,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,sat_simetria_extremos,sat_definicao,satAgg
1,5216,4551,1453,2580,0.7077536231884058,0.7821262558104664,0.6690610569522832,0.7211890770826133,0.8267334699630737,0.7004134058952332,0.763573408126831
2,5710,4516,1428,2146,0.7410144927536232,0.799943961894088,0.7268329938900203,0.7616379885287449,0.8301456570625305,0.732418417930603,0.7812820672988892
3,5810,4425,1569,1996,0.7416666666666667,0.7873695622713105,0.7442992569818089,0.7652288442541982,0.8303582668304443,0.7265453934669495,0.7784518003463745
4,4937,4731,1329,2803,0.7005797101449275,0.7879029684008937,0.6378552971576228,0.7049835784663715,0.8330509662628174,0.7014381885528564,0.7672445774078369
5,5509,4312,1668,2311,0.7116666666666667,0.7675909154242719,0.7044757033248081,0.7346802693872108,0.8184509873390198,0.7000290155410767,0.7592400312423706
