TP,TN,FP,FN,Accuracy,Precision,Recall,F1,cena
77,514,4,5,0.985,0.9506172839506173,0.9390243902439024,0.9447852760736196,1
75,521,1,3,0.9933333333333333,0.9868421052631579,0.9615384615384616,0.974025974025974,2
69,529,2,0,0.9966666666666667,0.971830985915493,1.0,0.9857142857142858,3
74,524,0,2,0.9966666666666667,1.0,0.9736842105263158,0.9866666666666666,4
65,531,2,2,0.9933333333333333,0.9701492537313433,0.9701492537313433,0.9701492537313433,5
