cena,below_accuracy,below_precision,below_recall,below_f1,above_accuracy,above_precision,above_recall,above_f1,sat_irreflexividade,sat_assimetria,sat_inverso,sat_transitividade,satAgg
1,0.9616666666666667,0.9663299663299664,0.9566666666666667,0.9614740368509213,0.9583333333333334,0.9692832764505119,0.9466666666666667,0.957841483979764,0.9766111969947815,0.9808385968208313,0.963380753993988,0.9990535974502563,0.9799710512161255
2,0.955,0.9595959595959596,0.95,0.9547738693467336,0.9616666666666667,0.9694915254237289,0.9533333333333334,0.9613445378151261,0.9514288902282715,0.9722096920013428,0.9589745402336121,0.9985528588294983,0.9702914953231812
3,0.9616666666666667,0.9663299663299664,0.9566666666666667,0.9614740368509213,0.9733333333333334,0.9765100671140939,0.97,0.9732441471571907,0.989713191986084,0.9801796674728394,0.9655606150627136,0.9991539120674133,0.9836518168449402
4,0.9566666666666667,0.9790209790209791,0.9333333333333333,0.9556313993174061,0.9616666666666667,0.9825783972125436,0.94,0.9608177172061328,0.960866391658783,0.9848620295524597,0.9675288796424866,0.9996363520622253,0.978223443031311
5,0.96,0.9693877551020408,0.95,0.9595959595959594,0.9616666666666667,0.9694915254237289,0.9533333333333334,0.9613445378151261,0.999236524105072,0.9844871163368225,0.9690347909927368,0.9992243647575378,0.9879956841468811
